"","X.1","X","Referee","Arena","CountPerArena","TotalCount","Lag","AntalMatchPerLag"
"73",73,73,"Julia Fältén, Lisa Vestman","Sävaråhallen",1,4,"Spöland Vännäs IF",1
"74",74,74,"Julia Fältén, Lisa Vestman","Sävaråhallen",1,4,"Sävar IK",1
"75",75,75,"Kim Fallbjörk, Rasmus Säfvenberg","Sävaråhallen",2,3,"Sävar IK",2
"76",76,76,"Kim Fallbjörk, Rasmus Säfvenberg","Sävaråhallen",2,3,"Gimonäs Umeå IF",1
"77",77,77,"Kim Fallbjörk, Rasmus Säfvenberg","Sävaråhallen",2,3,"Skellefteå IBK",1
"78",78,78,"Kim Fallbjörk, Rasmus Säfvenberg","Vildmannahallen",1,3,"Örnsköldsvik IBF",1
"79",79,79,"Kim Fallbjörk, Rasmus Säfvenberg","Vildmannahallen",1,3,"Sandåkerns SK",1
"80",80,80,"Lasse Ekesryd, Jens Marklund","Balderhallen A",1,1,"Skellefteå IBK",1
"81",81,81,"Lasse Ekesryd, Jens Marklund","Balderhallen A",1,1,"Kågedalens AIF",1
"82",82,82,"Lasse Ekesryd, Jörgen Lundberg","Balderhallen A",1,1,"Kågedalens AIF",1
"83",83,83,"Lasse Ekesryd, Jörgen Lundberg","Balderhallen A",1,1,"Gullänget-Kroksta IBS",1
"84",84,84,"Lasse Ekesryd, Micael Holmbom","Balderhallen A",1,1,"Sävar IK",1
"85",85,85,"Lasse Ekesryd, Micael Holmbom","Balderhallen A",1,1,"Kågedalens AIF",1
"86",86,86,"Manuel Garzon, Christoffer Lind","Elofssonhallen",1,1,"Röbäcks IF",1
"87",87,87,"Manuel Garzon, Christoffer Lind","Elofssonhallen",1,1,"Ersboda SK",1
