"","X","Typ","Tidpunkt","Score","Spelare","Lag","Period","Event","Utv","Match","Domare1","Domare2","Domarpar"
"82",82,"Utvisning","13:40",NA,"Julian Amya","Skellefteå IBK","Period3","Felaktigt byte",2,"Robertsfors IK - Skellefteå IBK","Björn Glad","Marcus Glad","Björn Glad, Marcus Glad"
"83",83,"Utvisning","16:54",NA,"Sebastian Persson","Robertsfors IK","Period3","Otillåten trängning",2,"Robertsfors IK - Skellefteå IBK","Björn Glad","Marcus Glad","Björn Glad, Marcus Glad"
"84",84,"Utvisning","09:33",NA,"Johan Nygren","Gimonäs Umeå IF","Period1","Låsning av klubba",2,"Ersboda SK - Gimonäs Umeå IF","Klas Höglund","Daniel Johannesson","Klas Höglund, Daniel Johannesson"
"85",85,"Utvisning","04:52",NA,"William Norman","Ersboda SK","Period2","Hårt spel 5",5,"Ersboda SK - Gimonäs Umeå IF","Klas Höglund","Daniel Johannesson","Klas Höglund, Daniel Johannesson"
"86",86,"Utvisning","19:43",NA,"Isak Hermansson","Ersboda SK","Period2","Fördröjande av spelet",2,"Ersboda SK - Gimonäs Umeå IF","Klas Höglund","Daniel Johannesson","Klas Höglund, Daniel Johannesson"
"87",87,"Utvisning","11:24",NA,"Vincent Rosén","Gimonäs Umeå IF","Period1","Fasthållning",2,"Gimonäs Umeå IF - IBF Dalen","Kent Fagerberg","David Karlsson","Kent Fagerberg, David Karlsson"
"88",88,"Utvisning","13:18",NA,"Benjamin Liljedahl","IBF Dalen","Period1","Slag",2,"Gimonäs Umeå IF - IBF Dalen","Kent Fagerberg","David Karlsson","Kent Fagerberg, David Karlsson"
"89",89,"Utvisning","18:57",NA,"Anton Wallgren","IBF Dalen","Period1","Hårt spel 2",2,"Gimonäs Umeå IF - IBF Dalen","Kent Fagerberg","David Karlsson","Kent Fagerberg, David Karlsson"
"90",90,"Utvisning","05:36",NA,"Anton Wallgren","IBF Dalen","Period2","Osportsligt uppträdande",12,"Gimonäs Umeå IF - IBF Dalen","Kent Fagerberg","David Karlsson","Kent Fagerberg, David Karlsson"
"91",91,"Utvisning","06:19",NA,"Vincent Rosén","Gimonäs Umeå IF","Period2","Hårt spel 2",2,"Gimonäs Umeå IF - IBF Dalen","Kent Fagerberg","David Karlsson","Kent Fagerberg, David Karlsson"
"92",92,"Utvisning","15:46",NA,"Benjamin Liljedahl","IBF Dalen","Period2","Upprepade förseelser",2,"Gimonäs Umeå IF - IBF Dalen","Kent Fagerberg","David Karlsson","Kent Fagerberg, David Karlsson"
"93",93,"Utvisning","09:47",NA,"Vincent Rosén","Gimonäs Umeå IF","Period3","Slag",2,"Gimonäs Umeå IF - IBF Dalen","Kent Fagerberg","David Karlsson","Kent Fagerberg, David Karlsson"
"94",94,"Utvisning","16:28",NA,"Rasmus Arklöf","Gimonäs Umeå IF","Period3","Slag",2,"Gimonäs Umeå IF - IBF Dalen","Kent Fagerberg","David Karlsson","Kent Fagerberg, David Karlsson"
"95",95,"Utvisning","19:59",NA,"August Flod","IBF Dalen","Period3","Hårt spel 5",5,"Gimonäs Umeå IF - IBF Dalen","Kent Fagerberg","David Karlsson","Kent Fagerberg, David Karlsson"
"96",96,"Utvisning","03:03",NA,"Theodor Jonsson","Rönnskär Railcare IF/CIF","Period1","Slag",2,"Rönnskär Railcare IF/CIF - IBF Dalen","Andreas Eriksson","Mattias Karlsson","Andreas Eriksson, Mattias Karlsson"
"97",97,"Utvisning","15:17",NA,"Edvin Lambertsson","IBF Dalen","Period1","Fasthållning",2,"Rönnskär Railcare IF/CIF - IBF Dalen","Andreas Eriksson","Mattias Karlsson","Andreas Eriksson, Mattias Karlsson"
"98",98,"Utvisning","05:21",NA,"August Flod","IBF Dalen","Period2","Felaktigt avstånd",2,"Rönnskär Railcare IF/CIF - IBF Dalen","Andreas Eriksson","Mattias Karlsson","Andreas Eriksson, Mattias Karlsson"
"99",99,"Utvisning","17:10",NA,"Pelle Forsberg","IBF Dalen","Period2","Hårt spel 2",2,"Rönnskär Railcare IF/CIF - IBF Dalen","Andreas Eriksson","Mattias Karlsson","Andreas Eriksson, Mattias Karlsson"
"100",100,"Utvisning","20:00",NA,"August Flod","IBF Dalen","Period2","Slag",2,"Rönnskär Railcare IF/CIF - IBF Dalen","Andreas Eriksson","Mattias Karlsson","Andreas Eriksson, Mattias Karlsson"
"101",101,"Utvisning","18:16",NA,"Adam Kryg","IBF Dalen","Period3","Fasthållning",2,"Rönnskär Railcare IF/CIF - IBF Dalen","Andreas Eriksson","Mattias Karlsson","Andreas Eriksson, Mattias Karlsson"
"102",102,"Utvisning","08:14",NA,"Axel Asplund","Gamla Stan IBK","Period2","Obstruktion",2,"Umeå City IBF - Gamla Stan IBK","David Jonsson","Johan Rönnberg","David Jonsson, Johan Rönnberg"
"103",103,"Utvisning","03:04",NA,"Anton Wallgren","IBF Dalen","Period1","Hög klubba",2,"IBF Dalen - Örnsköldsvik IBF /IBK","Albin Berglund","Linus Berglund","Albin Berglund, Linus Berglund"
"104",104,"Utvisning","08:09",NA,"Rasmus Karlstén","IBF Dalen","Period3","Slag",2,"IBF Dalen - Örnsköldsvik IBF /IBK","Albin Berglund","Linus Berglund","Albin Berglund, Linus Berglund"
"105",105,"Utvisning","09:47",NA,"Isac Fjälkebrandt","Hörnefors IF","Period1","Obstruktion",2,"Gimonäs Umeå IF - Hörnefors IF","Klas Höglund","Christoffer Lind","Klas Höglund, Christoffer Lind"
"106",106,"Utvisning","03:39",NA,"Rasmus Arklöf","Gimonäs Umeå IF","Period2","Felaktigt avstånd",2,"Gimonäs Umeå IF - Hörnefors IF","Klas Höglund","Christoffer Lind","Klas Höglund, Christoffer Lind"
"107",107,"Utvisning","05:38",NA,"Arvid Oscarsson","Hörnefors IF","Period2","Otillåten trängning",2,"Gimonäs Umeå IF - Hörnefors IF","Klas Höglund","Christoffer Lind","Klas Höglund, Christoffer Lind"
"108",108,"Utvisning","05:38",NA,"Enrico Gentili","Gimonäs Umeå IF","Period2","Otillåten trängning",2,"Gimonäs Umeå IF - Hörnefors IF","Klas Höglund","Christoffer Lind","Klas Höglund, Christoffer Lind"
