"","X.1","X","Referee","Arena","CountPerArena","TotalCount","Lag","AntalMatchPerLag"
"139",139,139,"Per Fallbjörk, Björn Glad","Hammarhallen Vännäs",1,1,"Gimonäs Umeå IBF",1
"140",140,140,"Per Fallbjörk, Björn Glad","Hammarhallen Vännäs",1,1,"Spöland Vännäs IF",1
"141",141,141,"Per Fallbjörk, Morgan Poopuu","Sporthallen Musköten",1,2,"Rönnskär Railcare IF",1
"142",142,142,"Per Fallbjörk, Morgan Poopuu","Sporthallen Musköten",1,2,"IBS Dalen",1
"143",143,143,"Per Fallbjörk, Morgan Poopuu","Sävaråhallen",1,2,"Gullänget-Kroksta IBS",1
"144",144,144,"Per Fallbjörk, Morgan Poopuu","Sävaråhallen",1,2,"Täfteå IK",1
"145",145,145,"Peter Poopuu, Ulf Stödberg","Hammarhallen Vännäs",1,2,"Spöland Vännäs IF",1
"146",146,146,"Peter Poopuu, Ulf Stödberg","Hammarhallen Vännäs",1,2,"IK SPIF Umeå",1
"147",147,147,"Peter Poopuu, Ulf Stödberg","Midgårdshallen",1,2,"Team Thorengruppen Ungdom SK",1
"148",148,148,"Peter Poopuu, Ulf Stödberg","Midgårdshallen",1,2,"Gullänget-Kroksta IBS",1
"149",149,149,"Roger Karlsson, Peter Poopuu","Hammarhallen Vännäs",1,8,"Spöland Vännäs IF",1
"150",150,150,"Roger Karlsson, Peter Poopuu","Hammarhallen Vännäs",1,8,"IBS Dalen",1
"151",151,151,"Roger Karlsson, Peter Poopuu","Midgårdshallen",4,8,"Täfteå IK",1
"152",152,152,"Roger Karlsson, Peter Poopuu","Midgårdshallen",4,8,"Spöland Vännäs IF",1
"153",153,153,"Roger Karlsson, Peter Poopuu","Midgårdshallen",4,8,"IBF Skellefteå",1
"154",154,154,"Roger Karlsson, Peter Poopuu","Midgårdshallen",4,8,"IBK Umeå Norr",3
"155",155,155,"Roger Karlsson, Peter Poopuu","Midgårdshallen",4,8,"Gimonäs Umeå IBF",2
"156",156,156,"Roger Karlsson, Peter Poopuu","Olasjöhallen",1,8,"Örnsköldsvik IBF",1
"157",157,157,"Roger Karlsson, Peter Poopuu","Olasjöhallen",1,8,"Obbola IK",1
"158",158,158,"Roger Karlsson, Peter Poopuu","Sporthallen Musköten",2,8,"Örnsköldsvik IBF",1
"159",159,159,"Roger Karlsson, Peter Poopuu","Sporthallen Musköten",2,8,"IBS Dalen",1
"160",160,160,"Roger Karlsson, Peter Poopuu","Sporthallen Musköten",2,8,"Team Thorengruppen Ungdom SK",1
"161",161,161,"Roger Karlsson, Peter Poopuu","Sporthallen Musköten",2,8,"IK SPIF Umeå",1
"162",162,162,"Simon Hedkvist, Andreas Nyman","Skyttis Arena",1,1,"Örnsköldsvik IBF",1
"163",163,163,"Simon Hedkvist, Andreas Nyman","Skyttis Arena",1,1,"IK SPIF Umeå",1
"164",164,164,"Simon Hedkvist, Fredrik Söderholm","Skyttis Arena",1,1,"IK SPIF Umeå",1
"165",165,165,"Simon Hedkvist, Fredrik Söderholm","Skyttis Arena",1,1,"Gullänget-Kroksta IBS",1
"166",166,166,"Simon Hedkvist, Johnnie Lundmark","Skyttis Arena",1,1,"Team Thorengruppen Ungdom SK",1
"167",167,167,"Simon Hedkvist, Johnnie Lundmark","Skyttis Arena",1,1,"Örnsköldsvik IBF",1
"168",168,168,"Therese Edin, Therese Jensen","Sävaråhallen",1,1,"Täfteå IK",1
"169",169,169,"Therese Edin, Therese Jensen","Sävaråhallen",1,1,"Gimonäs Umeå IBF",1
"170",170,170,"Tony Cederholm, Joni Güzel","Hammarhallen Vännäs",2,2,"Spöland Vännäs IF",2
"171",171,171,"Tony Cederholm, Joni Güzel","Hammarhallen Vännäs",2,2,"Obbola IK",1
"172",172,172,"Tony Cederholm, Joni Güzel","Hammarhallen Vännäs",2,2,"Team Thorengruppen Ungdom SK",1
"173",173,173,"Tony Cederholm, Manuel Garzon","Sävaråhallen",1,1,"IBF Skellefteå",1
"174",174,174,"Tony Cederholm, Manuel Garzon","Sävaråhallen",1,1,"Täfteå IK",1
"175",175,175,"Tony Cederholm, Roger Karlsson","Sjöfruhallen",1,1,"Team Thorengruppen Ungdom SK",1
"176",176,176,"Tony Cederholm, Roger Karlsson","Sjöfruhallen",1,1,"Gimonäs Umeå IBF",1
"177",177,177,"Tony Cederholm, Therese Jensen","Hammarhallen Vännäs",1,3,"Spöland Vännäs IF",1
"178",178,178,"Tony Cederholm, Therese Jensen","Hammarhallen Vännäs",1,3,"Gullänget-Kroksta IBS",1
"179",179,179,"Tony Cederholm, Therese Jensen","Olasjöhallen",1,3,"Obbola IK",1
"180",180,180,"Tony Cederholm, Therese Jensen","Olasjöhallen",1,3,"IK SPIF Umeå",1
"181",181,181,"Tony Cederholm, Therese Jensen","Sjöfruhallen",1,3,"Gimonäs Umeå IBF",1
"182",182,182,"Tony Cederholm, Therese Jensen","Sjöfruhallen",1,3,"IK SPIF Umeå",1
"183",183,183,"Tony Cederholm, Viktor Grahn","Midgårdshallen",1,2,"Team Thorengruppen Ungdom SK",1
"184",184,184,"Tony Cederholm, Viktor Grahn","Midgårdshallen",1,2,"Örnsköldsvik IBF",1
"185",185,185,"Tony Cederholm, Viktor Grahn","Skyttis Arena",1,2,"Gimonäs Umeå IBF",1
"186",186,186,"Tony Cederholm, Viktor Grahn","Skyttis Arena",1,2,"Gullänget-Kroksta IBS",1
"187",187,187,"Ulf Stödberg, Rasmus Säfvenberg","Olasjöhallen",1,1,"Obbola IK",1
"188",188,188,"Ulf Stödberg, Rasmus Säfvenberg","Olasjöhallen",1,1,"IBS Dalen",1
"189",189,189,"Viktor Grahn, Peter Poopuu","Midgårdshallen",2,3,"IBK Umeå Norr",1
"190",190,190,"Viktor Grahn, Peter Poopuu","Midgårdshallen",2,3,"Gimonäs Umeå IBF",1
"191",191,191,"Viktor Grahn, Peter Poopuu","Midgårdshallen",2,3,"Gullänget-Kroksta IBS",1
"192",192,192,"Viktor Grahn, Peter Poopuu","Midgårdshallen",2,3,"Team Thorengruppen Ungdom SK",1
"193",193,193,"Viktor Grahn, Peter Poopuu","Sporthallen Musköten",1,3,"Täfteå IK",1
"194",194,194,"Viktor Grahn, Peter Poopuu","Sporthallen Musköten",1,3,"IBS Dalen",1
"195",195,195,"Ville Hedsberg, Melker Westerberg","Balderhallen B",1,1,"Täfteå IK",1
"196",196,196,"Ville Hedsberg, Melker Westerberg","Balderhallen B",1,1,"IBF Skellefteå",1
