"","X.1","X","Referee","Arena","CountPerArena","TotalCount","Lag","AntalMatchPerLag"
"96",96,96,"David Morén, Andreas Åström","Balderhallen B",1,1,"Ersboda SK",1
"97",97,97,"David Morén, Isak Morén","Jenningshallen",1,1,"Robertsfors IK",1
"98",98,98,"David Morén, Isak Morén","Jenningshallen",1,1,"IBF Dalen",1
"99",99,99,"David Morén, Johan Rönnberg","Balderhallen B",1,1,"Gamla Stan IBK",1
"100",100,100,"David Morén, Johan Rönnberg","Balderhallen B",1,1,"Skellefteå IBS",1
"101",101,101,"Erik Hörnros, David Karlsson","Sporthallen Musköten",1,1,"Spöland Vännäs IF",1
"102",102,102,"Erik Hörnros, David Karlsson","Sporthallen Musköten",1,1,"IBF Dalen",1
"103",103,103,"Erik Hörnros, Jimmy Norlund","Bråvallahallen",1,18,"Umeå City IBF",1
"104",104,104,"Erik Hörnros, Jimmy Norlund","Bråvallahallen",1,18,"Hörnefors IF",1
"105",105,105,"Erik Hörnros, Jimmy Norlund","FC Vindeln",2,18,"Gamla Stan IBK",1
"106",106,106,"Erik Hörnros, Jimmy Norlund","FC Vindeln",2,18,"Vindelns IF",2
"107",107,107,"Erik Hörnros, Jimmy Norlund","FC Vindeln",2,18,"Umeå City IBF",1
"108",108,108,"Erik Hörnros, Jimmy Norlund","Hammarhallen Vännäs",2,18,"Spöland Vännäs IF",2
"109",109,109,"Erik Hörnros, Jimmy Norlund","Hammarhallen Vännäs",2,18,"IBF Dalen",1
"110",110,110,"Erik Hörnros, Jimmy Norlund","Hammarhallen Vännäs",2,18,"Vindelns IF",1
"111",111,111,"Erik Hörnros, Jimmy Norlund","Midgårdshallen",7,18,"Umeå City IBF",5
"112",112,112,"Erik Hörnros, Jimmy Norlund","Midgårdshallen",7,18,"Gimonäs Umeå IF",1
"113",113,113,"Erik Hörnros, Jimmy Norlund","Midgårdshallen",7,18,"Gimonäs Umeå IF",2
"114",114,114,"Erik Hörnros, Jimmy Norlund","Midgårdshallen",7,18,"Rönnskär Railcare IF/CIF",1
"115",115,115,"Erik Hörnros, Jimmy Norlund","Midgårdshallen",7,18,"IBF Dalen",1
"116",116,116,"Erik Hörnros, Jimmy Norlund","Midgårdshallen",7,18,"Örnsköldsvik IBF /IBK",1
"117",117,117,"Erik Hörnros, Jimmy Norlund","Midgårdshallen",7,18,"Spöland Vännäs IF",1
"118",118,118,"Erik Hörnros, Jimmy Norlund","Midgårdshallen",7,18,"Umeå City IBF",1
"119",119,119,"Erik Hörnros, Jimmy Norlund","Midgårdshallen",7,18,"Hörnefors IF",1
"120",120,120,"Erik Hörnros, Jimmy Norlund","Sjöfruhallen",1,18,"IBF Dalen",1
"121",121,121,"Erik Hörnros, Jimmy Norlund","Sjöfruhallen",1,18,"Gimonäs Umeå IF",1
"122",122,122,"Erik Hörnros, Jimmy Norlund","Sporthallen Musköten",4,18,"Vindelns IF",1
"123",123,123,"Erik Hörnros, Jimmy Norlund","Sporthallen Musköten",4,18,"Gamla Stan IBK",1
"124",124,124,"Erik Hörnros, Jimmy Norlund","Sporthallen Musköten",4,18,"Ersboda SK",1
"125",125,125,"Erik Hörnros, Jimmy Norlund","Sporthallen Musköten",4,18,"IBF Dalen",4
"126",126,126,"Erik Hörnros, Jimmy Norlund","Sporthallen Musköten",4,18,"Skellefteå IBS",1
"127",127,127,"Erik Hörnros, Jimmy Norlund","Vildmannahallen",1,18,"Skellefteå IBS",1
"128",128,128,"Erik Hörnros, Jimmy Norlund","Vildmannahallen",1,18,"Umeå City IBF",1
"129",129,129,"Erik Hörnros, Thanasis Provatas","FC Vindeln",1,1,"Vindelns IF",1
"130",130,130,"Erik Hörnros, Thanasis Provatas","FC Vindeln",1,1,"Örnsköldsvik IBF /IBK",1
"131",131,131,"Erik Hörnros, Ulf Stödberg","Sjöfruhallen",1,1,"Vindelns IF",1
"132",132,132,"Erik Hörnros, Ulf Stödberg","Sjöfruhallen",1,1,"Gimonäs Umeå IF",1
"133",133,133,"Gustav Broadhall, Daniel Johannesson","Ersängshallen",2,6,"Ersboda SK",2
"134",134,134,"Gustav Broadhall, Daniel Johannesson","Ersängshallen",2,6,"Gimonäs Umeå IF",1
"135",135,135,"Gustav Broadhall, Daniel Johannesson","Ersängshallen",2,6,"IBF Dalen",1
"136",136,136,"Gustav Broadhall, Daniel Johannesson","FC Vindeln",1,6,"Vindelns IF",1
"137",137,137,"Gustav Broadhall, Daniel Johannesson","FC Vindeln",1,6,"Gimonäs Umeå IF",1
"138",138,138,"Gustav Broadhall, Daniel Johannesson","Sjöfruhallen",2,6,"Gimonäs Umeå IF",1
"139",139,139,"Gustav Broadhall, Daniel Johannesson","Sjöfruhallen",2,6,"Skellefteå IBK",1
"140",140,140,"Gustav Broadhall, Daniel Johannesson","Sjöfruhallen",2,6,"IBF Dalen",1
"141",141,141,"Gustav Broadhall, Daniel Johannesson","Sjöfruhallen",2,6,"Gimonäs Umeå IF",1
"142",142,142,"Gustav Broadhall, Daniel Johannesson","Umeå Energi Arena Öst",1,6,"Gamla Stan IBK",1
"143",143,143,"Gustav Broadhall, Daniel Johannesson","Umeå Energi Arena Öst",1,6,"Gimonäs Umeå IF",1
"144",144,144,"Gustav Broadhall, Klas Höglund","Umeå Energi Arena Öst",1,1,"Gimonäs Umeå IF",1
"145",145,145,"Gustav Broadhall, Klas Höglund","Umeå Energi Arena Öst",1,1,"Umeå City IBF",1
"146",146,146,"Gustav Broadhall, Magnus Fessé","Sporthallen Musköten",1,1,"IBF Dalen",1
"147",147,147,"Gustav Broadhall, Magnus Fessé","Sporthallen Musköten",1,1,"Gimonäs Umeå IF",1
"148",148,148,"Gustav Broadhall, Rasmus Säfvenberg","Umeå Energi Arena Öst",1,1,"IBF Dalen",1
"149",149,149,"Gustav Broadhall, Rasmus Säfvenberg","Umeå Energi Arena Öst",1,1,"Gamla Stan IBK",1
"150",150,150,"Gustav Broadhall, Ulf Stödberg","Sporthallen Musköten",1,1,"IBF Dalen",1
"151",151,151,"Gustav Broadhall, Ulf Stödberg","Sporthallen Musköten",1,1,"Spöland Vännäs IF",1
"152",152,152,"Henrik Johansson, Anders Öbergh","Örnsköldsviks Sporthall",1,1,"Gamla Stan IBK",1
"153",153,153,"Henrik Johansson, Anders Öbergh","Örnsköldsviks Sporthall",1,1,"Örnsköldsvik IBF /IBK",1
"154",154,154,"Henrik Johansson, Joakim Nydahl","Skyttis Arena",1,2,"Gimonäs Umeå IF",1
"155",155,155,"Henrik Johansson, Joakim Nydahl","Skyttis Arena",1,2,"Örnsköldsvik IBF /IBK",1
"156",156,156,"Henrik Johansson, Joakim Nydahl","Örnsköldsviks Sporthall",1,2,"Örnsköldsvik IBF /IBK",1
"157",157,157,"Henrik Johansson, Joakim Nydahl","Örnsköldsviks Sporthall",1,2,"IBF Dalen",1
"158",158,158,"Henrik Johansson, Peder Lövdahl","Skyttis Arena",1,1,"IBF Dalen",1
"159",159,159,"Henrik Johansson, Peder Lövdahl","Skyttis Arena",1,1,"Örnsköldsvik IBF /IBK",1
"160",160,160,"Jens Marklund, Johan Rönnberg","Eddahallen",1,1,"Gimonäs Umeå IF",1
"161",161,161,"Jens Marklund, Johan Rönnberg","Eddahallen",1,1,"Skellefteå IBK",1
"162",162,162,"Jimmy Norlund, Rasmus Säfvenberg","Hammarhallen Vännäs",1,1,"Örnsköldsvik IBF /IBK",1
"163",163,163,"Jimmy Norlund, Rasmus Säfvenberg","Hammarhallen Vännäs",1,1,"Spöland Vännäs IF",1
"164",164,164,"Joakim Broman, Alvin Gustavsson","Balderhallen B",1,1,"Umeå City IBF",1
"165",165,165,"Joakim Broman, Alvin Gustavsson","Balderhallen B",1,1,"Gamla Stan IBK",1
"166",166,166,"Joakim Broman, Andreas Åström","Balderhallen B",1,1,"Gamla Stan IBK",1
"167",167,167,"Joakim Broman, Andreas Åström","Balderhallen B",1,1,"IBF Dalen",1
"168",168,168,"Joakim Broman, Melker Westerberg","Anderstorpshallen",1,1,"Skellefteå IBS",1
"169",169,169,"Joakim Broman, Melker Westerberg","Anderstorpshallen",1,1,"Umeå City IBF",1
"170",170,170,"Johan Rönnberg, Melker Westerberg","Balderhallen B",1,1,"Umeå City IBF",1
"171",171,171,"Johan Rönnberg, Melker Westerberg","Balderhallen B",1,1,"Skellefteå IBS",1
"172",172,172,"Johnnie Lundmark, Fredrik Söderholm","Skyttis Arena",2,3,"Örnsköldsvik IBF /IBK",2
"173",173,173,"Johnnie Lundmark, Fredrik Söderholm","Skyttis Arena",2,3,"Vindelns IF",1
"174",174,174,"Johnnie Lundmark, Fredrik Söderholm","Skyttis Arena",2,3,"Spöland Vännäs IF",1
"175",175,175,"Johnnie Lundmark, Fredrik Söderholm","Örnsköldsviks Sporthall",1,3,"Örnsköldsvik IBF /IBK",1
"176",176,176,"Johnnie Lundmark, Fredrik Söderholm","Örnsköldsviks Sporthall",1,3,"Vindelns IF",1
"177",177,177,"Joni Güzel","FC Vindeln",1,1,"Spöland Vännäs IF",1
"178",178,178,"Joni Güzel","FC Vindeln",1,1,"Vindelns IF",1
"179",179,179,"Joni Güzel, Peter Poopuu","Sjöfruhallen",1,1,"Umeå City IBF",1
"180",180,180,"Joni Güzel, Peter Poopuu","Sjöfruhallen",1,1,"Gimonäs Umeå IF",1
