"","Typ","Tidpunkt","Score","Spelare","Lag","Period","Match","Straff","Domare1","Domare2","Domarpar"
"32","Straffmål","03:25","4-1","Helmer Hernegran","Bele Barkarby IF IBF","Period2","Rosersbergs IK - Bele Barkarby IF IBF","Straff","Arash Sohrevardi","Shari Tingman","Arash Sohrevardi, Shari Tingman"
"33","Straffmål","09:35","4-3","Patrik Nordgren","IK Stanstad","Period2","IK Stanstad - Skurups IBK","Straff","Roger Persson","Klas Sjölin","Roger Persson, Klas Sjölin"
"34","Straffmål","11:21","7-4","Alexander Johansson","Sundsvall FBC","Period2","Sundsvall FBC - Örnsköldsvik IBK","Straff","Jonas Tidsjö","Jakob Westerlund","Jonas Tidsjö, Jakob Westerlund"
"35","Straffmål","18:21","3-4","Jesper Andersson","Hovshaga AIF","Period2","Hovshaga AIF - Växjö IBK U","Straff","Oskar Johnsson","Johan Magnusson","Oskar Johnsson, Johan Magnusson"
"36","Räddad straff","10:06","","Olof Berggren","IBK Uppsala Teknologer","Period3","Sandvikens AIK - IBK Uppsala Teknologer","Straff","Daniel Kölborn","Jacob Leijon","Daniel Kölborn, Jacob Leijon"
"37","Missad straff","02:55","","Rikard Carlsson-Stiernspetz","Täby FC","Period3","Jakobsbergs IBF - Täby FC","Straff","Christer Avasjö","Jonas Holm","Christer Avasjö, Jonas Holm"
"38","Räddad straff","19:13","","Emil Lögdberg","Linköping FBC","Period2","Ledberg IBF - Linköping FBC","Straff","Tomas Edstrand","Rickard Olsen","Tomas Edstrand, Rickard Olsen"
"39","Räddad straff","17:34","","Marcus Alm","Timrå IBC","Period2","Örnsköldsvik IBK - Timrå IBC","Straff","Andreas Lindberg","Robin Palander","Andreas Lindberg, Robin Palander"
"40","Straffmål","15:49","1-4","Victor Ferraresi","Älvsjö AIK IBF","Period3","Älvsjö AIK IBF - Linköping FBC","Straff","Christer Avasjö","Jonas Holm","Christer Avasjö, Jonas Holm"
"41","Missad straff","08:35","","Filip Nilsson","FBC Bollnäs","Period1","Sundsvall FBC - FBC Bollnäs","Straff","Jonas Tidsjö","Jakob Westerlund","Jonas Tidsjö, Jakob Westerlund"
